student_id,hw_id,deduction_tag,category,points_deducted,evidence_path,note,manual_review_needed,grader,recorded_at
113304030,hw6,MISSING_REQUIRED_FILE,completeness_score,3,submissions/hw6/renamed/hw6_113304030_01_hw6.ipynb,"Missing required computational graph artifact and learned-filter plot artifact; feature-map output and result logs are present.",no,Jason,2026-04-20T19:50:51+08:00
113304030,hw6,COMPUTATIONAL_GRAPH_MISSING,graph_score,15,submissions/hw6/renamed/hw6_113304030_01_hw6.ipynb,"No computational graph artifact or graph-like notebook output was found for the submitted HW6 model.",no,Jason,2026-04-20T19:50:51+08:00
113304030,hw6,FILTER_PLOT_MISSING,visualization_score,6,submissions/hw6/renamed/hw6_113304030_01_hw6.ipynb,"Feature-map plots are retained, but no learned-filter plot tied to the trained convolutional filters was found.",no,Jason,2026-04-20T19:50:51+08:00
113304030,hw6,COMPUTATIONAL_GRAPH_MISSING,evidence_score,5,submissions/hw6/renamed/hw6_113304030_01_hw6.ipynb,"Missing graph artifact prevents full code/result/graph/plot traceability, so Level B evidence cap applies.",no,Jason,2026-04-20T19:50:51+08:00
214952033,hw6,MISSING_REQUIRED_FILE,completeness_score,2,submissions/hw6/renamed/hw6_214952033_01_hw6.ipynb,"Missing required computational graph artifact; code, result, filter plot, and feature-map plot are present.",no,Jason,2026-04-20T19:56:20+08:00
214952033,hw6,CODE_INCOMPLETE,architecture_score,9,submissions/hw6/renamed/hw6_214952033_01_hw6.ipynb,"Code does not implement the required two additional hidden fully connected layers; submitted model has two convolution layers and one hidden fully connected layer plus output.",no,Jason,2026-04-20T19:56:20+08:00
214952033,hw6,COMPUTATIONAL_GRAPH_MISSING,graph_score,15,submissions/hw6/renamed/hw6_214952033_01_hw6.ipynb,"No computational graph artifact or graph-like notebook output was found for the submitted HW6 model.",no,Jason,2026-04-20T19:56:20+08:00
214952033,hw6,MOMENTUM_NOT_IMPLEMENTED,training_score,10,submissions/hw6/renamed/hw6_214952033_01_hw6.ipynb,"Momentum evidence insufficient: training uses Adam optimizer rather than mini-batch stochastic gradient with momentum.",no,Jason,2026-04-20T19:56:20+08:00
214952033,hw6,COMPUTATIONAL_GRAPH_MISSING,evidence_score,5,submissions/hw6/renamed/hw6_214952033_01_hw6.ipynb,"Missing graph and missing required training evidence prevent full code/result/graph/plot traceability, so Level B evidence cap applies.",no,Jason,2026-04-20T19:56:20+08:00
314261002,hw6,MISSING_REQUIRED_FILE,completeness_score,2,submissions/hw6/renamed/hw6_314261002_01_hw6.ipynb,"Missing required computational graph artifact; code, result, learned-filter plot, and feature-map plot are present.",no,Jason,2026-04-20T19:56:20+08:00
314261002,hw6,COMPUTATIONAL_GRAPH_MISSING,graph_score,15,submissions/hw6/renamed/hw6_314261002_01_hw6.ipynb,"No computational graph artifact or graph-like notebook output was found for the submitted HW6 model.",no,Jason,2026-04-20T19:56:20+08:00
314261002,hw6,ACCURACY_BELOW_TARGET,result_score,1,submissions/hw6/renamed/hw6_314261002_01_hw6.ipynb,"Reported MNIST test accuracy 97.62% is below 98%, though the test pipeline and model connection are otherwise clear.",no,Jason,2026-04-20T19:56:20+08:00
314261002,hw6,COMPUTATIONAL_GRAPH_MISSING,evidence_score,5,submissions/hw6/renamed/hw6_314261002_01_hw6.ipynb,"Missing graph artifact prevents full code/result/graph/plot traceability, so Level B evidence cap applies.",no,Jason,2026-04-20T19:56:20+08:00
314264001,hw6,MISSING_REQUIRED_FILE,completeness_score,2,submissions/hw6/renamed/hw6_314264001_01_hw6-314264001.ipynb,"Missing required computational graph artifact; code, result, learned-filter plot, and feature-map plots are present.",no,Jason,2026-04-20T19:59:56+08:00
314264001,hw6,COMPUTATIONAL_GRAPH_MISSING,graph_score,15,submissions/hw6/renamed/hw6_314264001_01_hw6-314264001.ipynb,"No computational graph artifact or graph-like notebook output was found for the submitted HW6 model.",no,Jason,2026-04-20T19:59:56+08:00
314264001,hw6,COMPUTATIONAL_GRAPH_MISSING,evidence_score,5,submissions/hw6/renamed/hw6_314264001_01_hw6-314264001.ipynb,"Missing graph artifact prevents full code/result/graph/plot traceability, so Level B evidence cap applies.",no,Jason,2026-04-20T19:59:56+08:00
314264011,hw6,CODE_INCOMPLETE,architecture_score,3,submissions/hw6/renamed,"Code and graph show two hidden fully connected layers total; the HW6 rubric expects the original fully connected structure plus two additional hidden layers.",no,Jason,2026-04-20T19:59:56+08:00
314264019,hw6,MISSING_REQUIRED_FILE,completeness_score,2,submissions/hw6/renamed/hw6_314264019_01_hw6.ipynb,"Missing required computational graph artifact; code, result, learned-filter plot, and feature-map plot are present.",no,Jason,2026-04-20T20:03:01+08:00
314264019,hw6,COMPUTATIONAL_GRAPH_MISSING,graph_score,15,submissions/hw6/renamed/hw6_314264019_01_hw6.ipynb,"No computational graph artifact or graph-like notebook output was found for the submitted HW6 model.",no,Jason,2026-04-20T20:03:01+08:00
314264019,hw6,COMPUTATIONAL_GRAPH_MISSING,evidence_score,5,submissions/hw6/renamed/hw6_314264019_01_hw6.ipynb,"Missing graph artifact prevents full code/result/graph/plot traceability, so Level B evidence cap applies.",no,Jason,2026-04-20T20:03:01+08:00
314264023,hw6,MISSING_REQUIRED_FILE,completeness_score,2,submissions/hw6/renamed/hw6_314264023_01_hw06.ipynb,"Missing required computational graph artifact; code, result, learned-filter plot, and feature-map plot are present.",no,Jason,2026-04-20T20:03:01+08:00
314264023,hw6,COMPUTATIONAL_GRAPH_MISSING,graph_score,15,submissions/hw6/renamed/hw6_314264023_01_hw06.ipynb,"No computational graph artifact or graph-like notebook output was found for the submitted HW6 model.",no,Jason,2026-04-20T20:03:01+08:00
314264023,hw6,COMPUTATIONAL_GRAPH_MISSING,evidence_score,5,submissions/hw6/renamed/hw6_314264023_01_hw06.ipynb,"Missing graph artifact prevents full code/result/graph/plot traceability, so Level B evidence cap applies.",no,Jason,2026-04-20T20:03:01+08:00
314264024,hw6,MISSING_REQUIRED_FILE,completeness_score,1,submissions/hw6/renamed/hw6_314264024_01_hw6.ipynb,"Computational graph evidence is present only as text in an unexecuted code cell, not as a rendered graph artifact or report section.",no,Jason,2026-04-20T20:03:01+08:00
314264024,hw6,CODE_INCOMPLETE,graph_score,3,submissions/hw6/renamed/hw6_314264024_01_hw6.ipynb,"Graph is model-specific and notation-aligned, but it is text-only source rather than a rendered slide-style computational graph.",no,Jason,2026-04-20T20:03:01+08:00
